id,noms.codeLangue,noms.nom
110,fre,Pédiatrie
110,eng,Pediatrics
111,fre,Pharmacie
111,eng,Pharmacy
112,fre,Pharmacologie
112,eng,Pharmacology
113,fre,Philosophie
113,eng,Philosophy
114,fre,Physiatrie
114,eng,Physiatry
115,fre,Physiologie
115,eng,Physiology
116,fre,Physiothérapie
116,eng,Physiotherapy
117,fre,Physique
117,eng,Physics
118,fre,Pneumologie
118,eng,Respirology
119,fre,Psychiatrie
119,eng,Psychiatry
120,fre,Psychoéducation
120,eng,Psychoeducation
121,fre,Psychologie
121,eng,Psychology
122,fre,Psychopédagogie
122,eng,Psycho-pedagogy
123,fre,Radiologie diagnostique
123,eng,Diagnostic Radiology
124,fre,Récréologie et sciences du loisir
124,eng,Recreology and Leisure Sciences
125,fre,Relations industrielles
125,eng,Industrial Relations
126,fre,Rhumatologie
126,eng,Rheumatology
127,fre,"Sciences de la terre (géologie, géographie physique, etc.)"
127,eng,Earth Science
128,fre,Sciences infirmières
128,eng,Nursing
129,fre,Science politique
129,eng,Political Science
130,fre,Sémiologie
130,eng,Semiology
131,fre,Service social et travail social
131,eng,Social Services and Social Work
132,fre,Sexologie
132,eng,Sexology
133,fre,Sociologie
133,eng,Sociology
134,fre,Sociologie de l’art
134,eng,Art Sociology
135,fre,Statistiques
135,eng,Statistics
136,fre,Théâtre
136,eng,Drama
137,fre,Sciences des religions
137,eng,Religious Studies
138,fre,Thérapie par l’art
138,eng,Art Therapy
139,fre,Urologie
139,eng,Urology
140,fre,Virologie
140,eng,Virology
141,fre,Architecture de paysage
141,eng,Landscape Architecture
142,fre,Architecture
142,eng,Architecture
143,fre,Design de jeux
143,eng,Game Design
144,fre,Design d’intérieur
144,eng,Interior Design
145,fre,Design industriel
145,eng,Industrial Design
146,fre,Éducation
146,eng,Education
147,fre,Études du jeu vidéo
147,eng,Video Game Studies
148,fre,Environnement et développement durable
148,eng,Environment and Sustainable Development
149,fre,Biochimie médicale
149,eng,Medical Biochemistry
150,fre,Bio-informatique
150,eng,Bioinformatics
151,fre,Journalisme
151,eng,Journalism
152,fre,Médecine de la douleur
152,eng,Pain Medicine
153,fre,Médecine d’urgence
153,eng,Emergency Medicine
154,fre,Médecine moléculaire
154,eng,Molecular Medicine
155,fre,Santé publique
155,eng,Public Health
156,fre,Sciences biomédicales
156,eng,Biomedical Sciences
157,fre,Urbanisme
157,eng,Urban planning
158,fre,Chirurgie cardiaque
158,eng,Cardiac Surgery
159,fre,Bactériologie
159,eng,Bacteriology
160,fre,Chirurgie colorectale
160,eng,Colorectal Surgery
161,fre,Chirurgie générale oncologique
161,eng,General Surgical Oncology
162,fre,Chirurgie générale pédiatrique
162,eng,Pediatric Surgery
163,fre,Chirurgie orthopédique
163,eng,Orthopedic Surgery
164,fre,Chirurgie plastique
164,eng,Plastic Surgery
165,fre,Chirurgie thoracique
165,eng,Thoracic Surgery
166,fre,Chirurgie vasculaire
166,eng,Vascular Surgery
167,fre,Dentisterie
167,eng,Dentistry
168,fre,Dentisterie de restauration
168,eng,Restorative Dentistry
169,fre,Dentisterie pédiatrique
169,eng,Pediatric Dentistry
170,fre,Médecine palliative
170,eng,Palliative Medicine
171,fre,Endocrinologie et métabolisme
171,eng,Endocrinology and Metabolism
172,fre,Endocrinologie gynécologique de la reproduction et de l’infertilité
172,eng,Gynecologic Reproductive Endocrinology and Infertility
173,fre,Génétique médicale
173,eng,Medical Genetics
174,fre,Génie biochimique
174,eng,Biochemical Engineering
175,fre,Gérontologie
175,eng,Gerontology
176,fre,Gérontopsychiatrie
176,eng,Geriatric Psychiatry
177,fre,Hématologie et oncologie pédiatrique
177,eng,Pediatric Hematology / Oncology
178,fre,Hépatologie
178,eng,Hepatology
179,fre,Histologie
179,eng,Histology
