codeSad,nom
G100J0,FMV Vice-décanat personnel enseignant
G200A0,Faculté de médecine vétérinaire - Département de biomédecine vétérinaire
G300A0,Faculté de médecine vétérinaire - Département de pathologie et microbiologie
G400A0,Faculté de médecine vétérinaire - Département de sciences cliniques
G601A0,Faculté de médecine vétérinaire - Centre de recherche en reproduction animale (CRRA)
G602A0,Faculté de médecine vétérinaire - Groupe de recherche sur les maladies infectieuses du porc (GREMIP)
G603A0,Faculté de médecine vétérinaire - Réseau canadien de recherche sur la mammite bovine (RCRMB)
G700A0,Faculté de médecine vétérinaire - Service diagnostic
H000A0,Faculté de musique
H000A1,Faculté de musique - Direction
H000B1,Faculté de musique - Secteur académique
H000E0,Faculté de musique - Observatoire interdisciplinaire de création et de recherche en musique
J000A0,Faculté des sciences infirmières
J000A1,Faculté des sciences infirmières - Direction
J000B0,Faculté des sciences infirmières - 1er cycle et formation continue
J000B2,Faculté des sciences infirmières - Cycles supérieurs
J000C0,Faculté des sciences infirmières - Recherche
K000A0,Faculté de pharmacie
K000A1,Faculté de pharmacie
K000C0,Faculté de pharmacie - Perfectionnement et communication
L100A0,Faculté des sciences de l'éducation - Direction
L100A1,Faculté des sciences de l'éducation - Direction - Recherche
L200A0,Faculté des sciences de l'éducation - Département de didactique
L300A0,Faculté des sciences de l'éducation - Département de psychopédagogie et d'andragogie
L300A1,Faculté des sciences de l'éducation - Département de psychopédagogie et d'andragogie - Recherche
L40000,FSE - Adm & fond éducation
L400A0,Faculté des sciences de l'éducation - Département d'administration et fondements de l'éducation
L500A0,Faculté des sciences de l'éducation - Centre de formation initiale des maîtres
N100A0,Faculté des arts et des sciences - Direction
N101A0,Faculté des arts et des sciences - SAFIRE
N102A0,Faculté des arts et des sciences - Centre de langues
N103A0,Faculté des arts et des sciences - SAFIRE - Programme facultaire études supérieures
N202A0,Faculté des arts et des sciences - Département d'histoire
N202R0,Faculté des arts et des sciences - Département d'histoire - Recherche
N203A0,Faculté des arts et des sciences - Département d'histoire de l'art et d'études cinématographiques
N204A0,Faculté des arts et des sciences - Département de linguistique et de traduction
N206A0,Faculté des arts et des sciences - Département des littératures de langue française
N206R0,Faculté des arts et des sciences - Département des littératures de langue française
N208A0,Faculté des arts et des sciences - Département de philosophie
N209A0,Faculté des arts et des sciences - Département de littératures et de langues du monde
N209R0,Faculté des arts et des sciences - Département de littératures et de langues du monde - recherche
N210A0,Faculté des arts et des sciences - Institut d'études religieuses
N301A0,Faculté des arts et des sciences - Département d'anthropologie
N302A0,Faculté des arts et des sciences - École de bibliothéconomie et des sciences de l'information
N303A0,Faculté des arts et des sciences - Département de communication
N304A0,Faculté des arts et des sciences - École de criminologie
N305A0,Faculté des arts et des sciences - Département de démographie
N305R0,Faculté des arts et des sciences - Département de démographie - Recherche
N306A0,Faculté des arts et des sciences - École de psychoéducation
N307A0,Faculté des arts et des sciences - Département de psychologie
N307R0,Faculté des arts et des sciences - Département de psychologie - Recherche - A
N308A0,Faculté des arts et des sciences - École de relations industrielles
N309A0,Faculté des arts et des sciences - Département de science politique
N309R0,Faculté des arts et des sciences - Département de science politique - Recherche
N310A0,Faculté des arts et des sciences - Département de sciences économiques
N311A0,Faculté des arts et des sciences - École de travail social
N312A0,Faculté des arts et des sciences - Département de sociologie
N401A0,Faculté des arts et des sciences - Département de chimie
N401R0,Faculté des arts et des sciences - Département de chimie - Recherche
N402A0,Faculté des arts et des sciences - Département de géographie
N403A0,Faculté des arts et des sciences - Département d'informatique et de recherche opérationnelle
N403B0,Faculté des arts et des sciences - Direction de l'enseignement de service en informatique (DESI)
N403R0,Faculté des arts et des sciences - Département informatique & recherche opérationnelle - Recherche
N40400,Faculté des arts et des sciences - Département de mathématiques et de statistique
N404A0,Faculté des arts et des sciences - Département de mathématiques et de statistique
N405A0,Faculté des arts et des sciences - Département de physique
N405R0,Faculté des arts et des sciences - Département de physique - Recherche
N406A0,Faculté des arts et des sciences - Département de sciences biologiques
N501A0,Faculté des arts et des sciences - CIQSS
N502A0,Institut rech bio-végétale
N601A0,Faculté des arts et des sciences - Centre d'études médiévales
N602A0,Faculté des arts et des sciences - Centre d'études classiques
N603A0,Faculté des arts et des sciences – Centre d'études asiatiques
N604A0,Faculté des arts et des sciences - Centre d'études et de recherches internationales
P00000,Faculté de l'éducation permanente
P000A0,Faculté de l'éducation permanente - Direction
P001A6,Faculté de l'éducation permanente - Gestion des programmes
P010E1,Faculté de l'éducation permanente - Communication appliquée
P010E3,Faculté de l'éducation permanente - Information et journalisme
P010E4,Faculté de l'éducation permanente - Rédaction
P010E5,Faculté de l'éducation permanente - Relations publiques
P010E6,Faculté de l'éducation permanente - Traduction
P010E7,Faculté de l'éducation permanente - Publicité
P010F1,Faculté de l'éducation permanente - Gestion appliquée à la police et à la sécurité
P010F2,Faculté de l'éducation permanente - Gestion philanthropique
P010F3,Faculté de l'éducation permanente - Gestion des services de santé et des services sociaux
P010F4,Faculté de l'éducation permanente - Relations industrielles
P010G1,Faculté de l'éducation permanente - Criminologie
P010G2,Faculté de l'éducation permanente - Droit
P010G3,Faculté de l'éducation permanente - Intervention auprès des jeunes
P010G4,Faculté de l'éducation permanente - Déficience intellectuelle
P010G5,Faculté de l'éducation permanente - Petite enfance et famille
P010G6,Faculté de l'éducation permanente - Toxicomanies
P010H1,Faculté de l'éducation permanente - Gérontologie
P010H2,Faculté de l'éducation permanente - Santé communautaire
P010H3,Faculté de l'éducation permanente - Santé et sécurité du travail
P010H4,Faculté de l'éducation permanente - Santé mentale
P010I3,Faculté de l'éducation permanente - Coopération internationale
P010I4,Faculté de l'éducation permanente - ACCÈS
P03221,"Faculté de l'éducation permanente -  Centre de formation continue, permanente ou professionnelle"
Q00000,Études supérieures et postdoctorales
Q000A0,Études supérieures et postdoctorales - Décanat
Q000B1,Études supérieures et postdoctorales (ESP) - Gestion des études
R000A0,École d'optométrie
R000A1,École d'optométrie - Direction
R000B0,École d'optométrie - Clinique universitaire de la vision
T100A0,École de santé publique - Direction
T200A0,"École de santé publique - Département de gestion, d’évaluation et de politique de santé"
T300A0,École de santé publique - Département de médecine sociale et préventive
T400A0,École de santé publique - Département de santé environnementale et santé au travail
T500A0,ESPUM - IRSPUM - Institut de recherche en santé publique de l'Université de Montréal
T600A0,ESPUM - USI - Unité de santé internationnale
