columns
idsadvr
prenom
nom
in-memoriam
affiliations
etablissementsAffilies
expertise
recrutementRecherche
sexe
institution
paysCode
paysNom
langues
formations
unitesRecherche
prix
affiliations.immeuble
affiliations.fonction.codeSad
affiliations.fonction.nom
affiliations.uniteAdministrative.codeSad
affiliations.uniteAdministrative.nom
affiliations.departement.codeSad
affiliations.departement.nom
affiliations.faculte.codeSad
affiliations.faculte.nom
expertise.pays
expertise.secteursRecherche.uid
expertise.secteursRecherche.codeLangue
expertise.secteursRecherche.nom
expertise.secteursRecherche.ordre
expertise.disciplines.uid
expertise.disciplines.codeLangue
expertise.disciplines.nom
expertise.disciplines.ordre
expertise.motsCles.uid
expertise.motsCles.nom
expertise.motsCles.ordre
expertise.motsCles.codeLangue
expertise.motsCles.departement
expertise.motsCles.departementCodeSAD
expertise.motsCles.faculte
expertise.motsCles.faculteCodeSAD
expertise.motsCles.uniteRecherche
expertise.motsCles.uniteRechercheIdsadvr
expertise.periodesChronologiques.uid
expertise.periodesChronologiques.ordre
expertise.periodesChronologiques.codeLangue
expertise.periodesChronologiques.nom
expertise.phraseCle.codeLangue
expertise.phraseCle.contenu
expertise.continents.uid
expertise.continents.ordre
expertise.continents.codeLangue
expertise.continents.nom
